date,usd_zar
2015-12-31,15.5718
2016-01-04,15.5586
2016-01-05,15.6005
2016-01-06,15.8287
2016-01-07,16.1011
2016-01-08,16.0087
2016-01-11,16.5755
2016-01-12,16.587
2016-01-13,16.4897
2016-01-14,16.568
2016-01-15,16.6991
2016-01-18,16.7905
2016-01-19,16.665
2016-01-20,16.7687
2016-01-21,16.6578
2016-01-22,16.4825
2016-01-25,16.5123
2016-01-26,16.5065
2016-01-27,16.3302
2016-01-28,16.3061
2016-01-29,16.019
2016-02-01,16.0804
2016-02-02,16.0993
2016-02-03,16.1849
2016-02-04,15.8549
2016-02-05,15.8529
2016-02-08,16.2044
2016-02-09,16.1944
2016-02-10,15.8461
2016-02-11,15.8524
2016-02-12,15.893
2016-02-15,15.7526
2016-02-16,15.7325
2016-02-17,15.6537
2016-02-18,15.3967
2016-02-19,15.4452
2016-02-22,15.2808
2016-02-23,15.1246
2016-02-24,15.5409
2016-02-25,15.567
2016-02-26,15.6758
2016-02-29,16.0326
2016-03-01,15.8227
2016-03-02,15.6685
2016-03-03,15.7091
2016-03-04,15.613
2016-03-07,15.3709
2016-03-08,15.3686
2016-03-09,15.3785
2016-03-10,15.0723
2016-03-11,15.241
2016-03-14,15.4009
2016-03-15,15.8535
2016-03-16,16.2125
2016-03-17,15.3955
2016-03-18,15.2517
2016-03-21,15.3002
2016-03-22,15.3362
2016-03-23,15.35
2016-03-24,15.497
2016-03-29,15.4686
2016-03-30,14.9354
2016-03-31,14.7445
2016-04-01,14.7619
2016-04-04,14.6573
2016-04-05,14.972
2016-04-06,15.2439
2016-04-07,15.2385
2016-04-08,15.0684
2016-04-11,14.7458
2016-04-12,14.689
2016-04-13,14.7231
2016-04-14,14.5697
2016-04-15,14.5714
2016-04-18,14.5994
2016-04-19,14.2849
2016-04-20,14.2036
2016-04-21,14.1787
2016-04-22,14.3697
2016-04-25,14.4834
2016-04-26,14.485
2016-04-27,14.4661
2016-04-28,14.38
2016-04-29,14.1688
2016-05-02,14.1849
2016-05-03,14.4624
2016-05-04,14.7824
2016-05-05,14.9271
2016-05-06,14.961
2016-05-09,15.1055
2016-05-10,15.2277
2016-05-11,15.1404
2016-05-12,14.991
2016-05-13,15.1685
2016-05-16,15.5696
2016-05-17,15.6
2016-05-18,15.884
2016-05-19,15.8483
2016-05-20,15.7473
2016-05-23,15.6195
2016-05-24,15.6251
2016-05-25,15.6782
2016-05-26,15.595
2016-05-27,15.6254
2016-05-30,15.771
2016-05-31,15.7668
2016-06-01,15.6957
2016-06-02,15.593
2016-06-03,15.5799
2016-06-06,14.985
2016-06-07,14.8656
2016-06-08,14.7312
2016-06-09,14.825
2016-06-10,15.0906
2016-06-13,15.1757
2016-06-14,15.3557
2016-06-15,15.2285
2016-06-16,15.4144
2016-06-17,15.214
2016-06-20,14.8201
2016-06-21,14.676
2016-06-22,14.692
2016-06-23,14.457
2016-06-24,15.12
2016-06-27,15.3256
2016-06-28,15.2471
2016-06-29,14.9699
2016-06-30,14.8136
2016-07-01,14.5745
2016-07-04,14.4924
2016-07-05,14.7515
2016-07-06,14.8898
2016-07-07,14.66
2016-07-08,14.6962
2016-07-11,14.4423
2016-07-12,14.3037
2016-07-13,14.333
2016-07-14,14.212
2016-07-15,14.3483
2016-07-18,14.2663
2016-07-19,14.327
2016-07-20,14.2828
2016-07-21,14.2926
2016-07-22,14.2473
2016-07-25,14.2738
2016-07-26,14.4287
2016-07-27,14.2918
2016-07-28,14.2442
2016-07-29,14.1547
2016-08-01,13.8948
2016-08-02,13.9702
2016-08-03,13.9804
2016-08-04,13.739
2016-08-05,13.673
2016-08-08,13.6452
2016-08-09,13.5468
2016-08-10,13.2763
2016-08-11,13.3668
2016-08-12,13.506
2016-08-15,13.3583
2016-08-16,13.2381
2016-08-17,13.4541
2016-08-18,13.3581
2016-08-19,13.5104
2016-08-22,13.5879
2016-08-23,13.475
2016-08-24,14.1445
2016-08-25,14.13
2016-08-26,14.0498
2016-08-29,14.53
2016-08-30,14.3747
2016-08-31,14.5285
2016-09-01,14.67
2016-09-02,14.524
2016-09-05,14.3525
2016-09-06,14.2049
2016-09-07,14.0275
2016-09-08,13.9038
2016-09-09,14.3241
2016-09-12,14.4809
2016-09-13,14.2981
2016-09-14,14.332
2016-09-15,14.217
2016-09-16,14.135
2016-09-19,14.0293
2016-09-20,13.872
2016-09-21,13.712
2016-09-22,13.487
2016-09-23,13.5875
2016-09-27,13.55
2016-09-28,13.585
2016-09-29,13.7902
2016-09-30,13.909
2016-10-04,13.604
2016-10-05,13.7442
2016-10-06,13.8198
2016-10-07,13.8805
2016-10-10,13.8486
2016-10-11,14.263
2016-10-12,14.394
2016-10-13,14.2963
2016-10-14,14.2068
2016-10-17,14.238
2016-10-18,14.0465
2016-10-20,13.9107
2016-10-21,14.0319
2016-10-24,13.88
2016-10-25,13.834
2016-10-26,13.75
2016-10-27,13.8575
2016-10-28,13.8812
2016-10-31,13.565
2016-11-01,13.4957
2016-11-02,13.3775
2016-11-03,13.4621
2016-11-04,13.5329
2016-11-07,13.4555
2016-11-08,13.3464
2016-11-09,13.455
2016-11-10,13.8645
2016-11-11,14.2217
2016-11-14,14.3882
2016-11-15,14.183
2016-11-16,14.3335
2016-11-17,14.27
2016-11-18,14.3748
2016-11-21,14.22
2016-11-22,14.0569
2016-11-23,14.14
2016-11-24,14.2288
2016-11-28,13.885
2016-11-29,13.99
2016-11-30,14.0005
2016-12-01,14.075
2016-12-02,14.0813
2016-12-05,13.8409
2016-12-06,13.613
2016-12-07,13.563
2016-12-08,13.6742
2016-12-09,13.775
2016-12-12,13.726
2016-12-13,13.6871
2016-12-14,13.6704
2016-12-15,14.04
2016-12-16,13.9741
2016-12-20,14.0685
2016-12-21,13.9493
2016-12-22,14.057
2016-12-23,14.0104
2016-12-27,13.9581
2016-12-28,13.8963
2016-12-29,13.6728
2016-12-30,13.715
2017-01-02,13.7286
2017-01-03,13.7545
2017-01-04,13.6446
2017-01-05,13.641
2017-01-06,13.6159
2017-01-09,13.7055
2017-01-10,13.7005
2017-01-11,13.781
2017-01-12,13.4353
2017-01-13,13.5149
2017-01-16,13.6126
2017-01-17,13.4752
2017-01-18,13.5626
2017-01-19,13.5973
2017-01-20,13.624
2017-01-23,13.5565
2017-01-24,13.3646
2017-01-25,13.2725
2017-01-26,13.374
2017-01-27,13.526
2017-01-30,13.5945
2017-01-31,13.43
2017-02-01,13.4233
2017-02-02,13.3921
2017-02-03,13.4263
2017-02-06,13.2959
2017-02-07,13.4373
2017-02-08,13.4235
2017-02-09,13.41
2017-02-10,13.3471
2017-02-13,13.3417
2017-02-14,13.098
2017-02-15,13.046
2017-02-16,12.94
2017-02-17,13.0852
2017-02-20,13.11
2017-02-21,13.1599
2017-02-22,13.105
2017-02-23,12.88
2017-02-24,12.9151
2017-02-27,12.955
2017-02-28,13.0141
2017-03-01,13.082
2017-03-02,13.1062
2017-03-03,13.0828
2017-03-06,12.9951
2017-03-07,12.9575
2017-03-08,13.0644
2017-03-09,13.2669
2017-03-10,13.2643
2017-03-13,13.139
2017-03-14,13.16
2017-03-15,13.053
2017-03-16,12.7046
2017-03-17,12.76
2017-03-20,12.676
2017-03-21,12.5738
2017-03-22,12.595
2017-03-23,12.51
2017-03-24,12.4772
2017-03-27,12.6375
2017-03-28,12.9402
2017-03-29,13.1387
2017-03-30,12.8681
2017-03-31,13.32
2017-04-03,13.5546
2017-04-04,13.762
2017-04-05,13.7036
2017-04-06,13.8036
2017-04-07,13.8137
2017-04-10,13.889
2017-04-11,13.8368
2017-04-12,13.6902
2017-04-13,13.5282
2017-04-18,13.3871
2017-04-19,13.297
2017-04-20,13.1486
2017-04-21,13.1414
2017-04-24,12.9645
2017-04-25,13.0448
2017-04-26,13.2358
2017-04-27,13.3592
2017-04-28,13.257
2017-05-02,13.274
2017-05-03,13.3465
2017-05-04,13.5436
2017-05-05,13.5843
2017-05-08,13.576
2017-05-09,13.665
2017-05-10,13.49
2017-05-11,13.3662
2017-05-12,13.4549
2017-05-15,13.1989
2017-05-16,13.1374
2017-05-17,13.091
2017-05-18,13.5287
2017-05-19,13.2636
2017-05-22,13.1814
2017-05-23,13.2037
2017-05-24,12.9525
2017-05-25,12.895
2017-05-26,12.8714
2017-05-29,12.9475
2017-05-30,13.147
2017-05-31,13.1338
2017-06-01,13.05
2017-06-02,12.8704
2017-06-05,12.7404
2017-06-06,12.8487
2017-06-07,12.865
2017-06-08,12.8663
2017-06-09,12.8849
2017-06-12,12.8114
2017-06-13,12.775
2017-06-14,12.7374
2017-06-15,12.8715
2017-06-19,12.9787
2017-06-20,13.102
2017-06-21,13.0309
2017-06-22,13.0006
2017-06-23,12.9357
2017-06-27,12.9076
2017-06-28,13.018
2017-06-29,12.9905
2017-06-30,13.074
2017-07-03,13.1873
2017-07-04,13.2284
2017-07-05,13.3522
2017-07-06,13.48
2017-07-07,13.3759
2017-07-10,13.36
2017-07-11,13.555
2017-07-12,13.395
2017-07-13,13.2225
2017-07-14,13.168
2017-07-17,12.9436
2017-07-18,12.935
2017-07-19,12.9104
2017-07-20,12.9752
2017-07-21,12.9341
2017-07-24,12.9564
2017-07-25,13.0119
2017-07-26,13.0538
2017-07-27,12.9639
2017-07-28,13.0285
2017-07-31,13.1079
2017-08-01,13.285
2017-08-02,13.281
2017-08-03,13.2907
2017-08-04,13.3356
2017-08-07,13.3645
